Question,Answer,Score
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ???????? ??????? ??? ??????,0.738856316
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ????? ??? ???? ?? ??????? ?????,0.738464296
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?? ??? ??????? ?????? ????? ?????? ????? ???? ?? ?????,0.737579942
??????? ?? ??????? ??? ???? ???? ????,???? ????? ???????,0.737264395
??????? ?? ??????? ??? ???? ???? ????,????? ????? ???? ????? ???????,0.737231195
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??,0.737213731
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ?????? ???? ?? ??????? ????????? ?????,0.735824943
??????? ?? ??????? ??? ???? ???? ????,???? ????? ???????,0.735641599
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ??? ?????? ???? ??? ??????? ??????,0.735403061
??????? ?? ??????? ??? ???? ???? ????,?????? ????? ?? ?? ??????,0.735179484
??????? ?? ??????? ??? ???? ???? ????,????? ??? ?? ????? ??????,0.735066772
??????? ?? ??????? ??? ???? ???? ????,????????,0.734665513
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ????,0.733712077
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ???????? ??????? ??????? ??? ?????,0.732384503
??????? ?? ??????? ??? ???? ???? ????,???? ????? ????? ????????,0.732183099
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ????????? ??????,0.731999278
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ????????? ??????,0.730376959
??????? ?? ??????? ??? ???? ???? ????,??? ??? ???? ??? ?????????,0.730140805
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ???? ????? ????? ?? ??????? ?????? ???????,0.729955912
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ?????? ????? ????? ?????,0.729001403
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ?????? ???? ?? ??????? ????????? ?????,0.728656411
??????? ?? ??????? ??? ???? ???? ????,??? ????? ????? ????? ?? ??? ??????? ????? ??????,0.728294373
??????? ?? ??????? ??? ???? ???? ????,??? ????? ????? ????? ?? ??? ??????? ????? ??????,0.728102624
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????? ?? ????? ??????? ???????? ????????,0.727272451
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ??????? ?????? ???? ????? ????? ?? ????? ?????? ?????,0.726688802
??????? ?? ??????? ??? ???? ???? ????,??? ??? ???? ??? ?????????,0.726375341
??????? ?? ??????? ??? ???? ???? ????,?????? ????? ?? ?? ??????,0.723394334
??????? ?? ??????? ??? ???? ???? ????,????? ?? ???,0.723038554
??????? ?? ??????? ??? ???? ???? ????,????? ?? ???,0.723038554
??????? ?? ??????? ??? ???? ???? ????,????? ?? ???,0.723038554
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ????,0.721581936
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ????,0.721280694
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ????? ?????????? ???? ????? ?????,0.721280098
??????? ?? ??????? ??? ???? ???? ????,?? ???? ????????,0.720878899
??????? ?? ??????? ??? ???? ???? ????,???? ????? ????? ????????,0.720337749
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??,0.719943583
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ??,0.718899012
??????? ?? ??????? ??? ???? ???? ????,??? ?? ?????? ????? ????? ?? ????? ????? ???? ???? ?? ??????? ??????,0.71880734
??????? ?? ??????? ??? ???? ???? ????,??? ???? ?????? ???? ????? ??????,0.718689144
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?????,0.718474865
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ?????,0.718302727
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ????,0.716923475
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.716097355
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.715954423
??????? ?? ??????? ??? ???? ???? ????,????? ??? ?? ????? ??????,0.715851188
??????? ?? ??????? ??? ???? ???? ????,??? ????? ???????,0.714557171
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ???????? ?? ??????? ???????? ?????? ?? ???????????,0.714226842
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ????? ??? ????? ????????,0.714120567
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ????? ?????????? ???? ????? ?????,0.71401155
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??? ??? ??? ?? ?????? ?????,0.713792324
??????? ?? ??????? ??? ???? ???? ????,??? ?? ???,0.713361025
??????? ?? ??????? ??? ???? ???? ????,?????? ???? ????????? ????? ?? ??????? ?????? ??????? ????????,0.713189662
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ???????? ?? ??????? ???????? ?????? ?? ???????????,0.71218574
??????? ?? ??????? ??? ???? ???? ????,????? ????? ???? ????? ???????,0.710883498
??????? ?? ??????? ??? ???? ???? ????,????? ??? ????? ??????? ????? ????????,0.710749745
??????? ?? ??????? ??? ???? ???? ????,??? ????? ????? ????? ?? ??? ??????? ????? ??????,0.708073378
??????? ?? ??????? ??? ???? ???? ????,????? ??????? ??????? ??????????? ?? ??????? ?????????? ???? ???? ?? ??????? ?????,0.707579732
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ?? ?????? ????? ???????????,0.707531393
??????? ?? ??????? ??? ???? ???? ????,????? ??? ???? ?? ?????? ????? ???????????,0.707111835
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??? ??? ??? ?? ?????? ?????,0.706567228
??????? ?? ??????? ??? ???? ???? ????,???? ??????? ?????? ???? ????? ??? ?????? ?????????? ??????,0.704203784
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ??????? ????? ????,0.704159379
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.704019547
??????? ?? ??????? ??? ???? ???? ????,??? ?????,0.703535199
??????? ?? ??????? ??? ???? ???? ????,??? ?????,0.703535199
??????? ?? ??????? ??? ???? ???? ????,??? ???? ?????? ???? ????? ??????,0.703496099
??????? ?? ??????? ??? ???? ???? ????,????? ???????? ??? ????? ?????? ?????? ????,0.703071594
??????? ?? ??????? ??? ???? ???? ????,?? ???? ????????,0.702155292
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ??????? ????? ????,0.701812744
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?? ????? ?????? ?????,0.701812565
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ????,0.701586843
??????? ?? ??????? ??? ???? ???? ????,??? ????? ??? ??????? ????? ????,0.701523542
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?? ?????? ??? ??????,0.700607181
??????? ?? ??????? ??? ???? ???? ????,?????? ?????? ???? ????? ??? ??????? ?? ???????? ????????,0.699448049
??????? ?? ??????? ??? ???? ???? ????,?????? ???? ????????? ????? ?? ??????? ?????? ??????? ????????,0.699209154
??????? ?? ??????? ??? ???? ???? ????,????? ????? ??????? ????? ????? ?? ???????,0.699096203
??????? ?? ??????? ??? ???? ???? ????,????? ????? ?????? ?????? ?????,0.69759202
??????? ?? ??????? ??? ???? ???? ????,????? ??????? ??????? ??????????? ?? ??????? ?????????? ???? ???? ?? ??????? ?????,0.697511196
??????? ?? ??????? ??? ???? ???? ????,????? ?? ????? ????? ????? ?? ????? ???????? ??????,0.697130919
??????? ?? ??????? ??? ???? ???? ????,?????? ????? ?? ?? ??????,0.697004735
??????? ?? ??????? ??? ???? ???? ????,???? ????? ???????,0.696468472
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ??? ?????? ???? ??? ??????? ??????,0.69611001
??????? ?? ??????? ??? ???? ???? ????,??? ?????? ?????? ????? ?????,0.695811987
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.695431948
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.695431948
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.695431948
??????? ?? ??????? ??? ???? ???? ????,?? ????? ??????? ???? ????? ???? ??????? ?? ????? ???????,0.695041776
??????? ?? ??????? ??? ???? ???? ????,????? ????? ???? ????? ???????,0.694666505
??????? ?? ??????? ??? ???? ???? ????,????? ????? ????? ?????? ???? ?? ??????? ????????? ?????,0.693874121
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.692530155
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.692530155
??????? ?? ??????? ??? ???? ???? ????,??? ???,0.692530155
??????? ?? ??????? ??? ???? ???? ????,??? ?? ?????? ????? ????? ?? ????? ????? ???? ???? ?? ??????? ??????,0.691777408
??????? ?? ??????? ??? ???? ???? ????,???? ????? ???????,0.691499949
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?? ????? ?????? ?????,0.690010786
??????? ?? ??????? ??? ???? ???? ????,????? ?? ????? ????? ????? ?? ????? ???????? ??????,0.689814448
??????? ?? ??????? ??? ???? ???? ????,????? ??? ??? ????? ????????,0.689578116
??????? ?? ??????? ??? ???? ???? ????,??? ??????? ?????? ????? ?????? ????? ????? ?????,0.688825071
??????? ?? ??????? ??? ???? ???? ????,???? ????? ????? ????????,0.687720299
??????? ?? ??????? ??? ???? ???? ????,????? ???????? ??? ????? ?????? ?????? ????,0.686856449
??????? ?? ??????? ??? ???? ???? ????,?????? ?? ???????? ??????? ??? ??????,0.686748266
??????? ?? ??????? ??? ???? ???? ????,???? ?????,0.685155392
??????? ?? ??????? ??? ???? ???? ????,???? ????? ???????,0.684296489
??????? ?? ??????? ??? ???? ???? ????,??? ????? ?? ????? ?????? ?????,0.683664918
??????? ?? ??????? ??? ???? ???? ????,????? ?????? ?????? ????? ?????? ???? ???,0.68315053
??????? ?? ??????? ??? ???? ???? ????,??? ??? ???? ??? ?????????,0.682364583
??????? ?? ??????? ??? ???? ???? ????,??????? ????????? ??????? ?????? ???? ????? ????? ?? ????? ?????? ?????,0.681566834
??????? ?? ??????? ??? ???? ???? ????,??? ?????,0.681019306
??????? ?? ??????? ??? ???? ???? ????,??? ?????,0.681019306
??????? ?? ??????? ??? ???? ???? ????,????? ?? ???,0.679630578
